# epoch train_loss test_loss time_seconds
1 26.940248897 0.0876925376 64.98 
2 0.3991304612 0.0175815766 142.54 
3 0.0835847766 0.0103568955 264.42 
4 0.0499541863 0.0066906674 393.62 
5 0.0330915241 0.0043763051 588.24 
6 0.0224024951 0.0033058422 747.65 
7 0.0167940767 0.0025981607 820.38 
8 0.0129893401 0.0022402069 872.16 
9 0.0111781383 0.0019169006 930.31 
10 0.0093847976 0.0016135216 992.58 
11 0.0079062794 0.0014433855 1066.99 
12 0.0072044426 0.0013416179 1113.01 
13 0.0066522597 0.001255311 1156.98 
14 0.0061983264 0.0012042598 1204.75 
15 0.0059322611 0.0011413551 1273.25 
16 0.0056229485 0.0010745036 1336.96 
17 0.0052811061 0.0010107869 1392.3 
18 0.0050165708 0.0009684474 1447.34 
19 0.004750255 0.0009170555 1494.48 
20 0.0044408494 0.0008452155 1564.15 
21 0.004051932 0.000798949 1614.98 
22 0.0038434654 0.0007609144 1671.58 
23 0.0036410684 0.0007321155 1734.55 
24 0.003469359 0.0007013858 1780.5 
25 0.0033215215 0.0006653925 1840.52 
26 0.003163064 0.0006290496 1896.69 
27 0.0030099472 0.0006032267 1954.48 
28 0.0028899643 0.0005863306 2003.01 
29 0.00281117 0.0005683748 2069.61 
30 0.0027263999 0.0005451326 2113.39 
31 0.0026269939 0.0005305981 2179.71 
32 0.0025575876 0.000520952 2256.26 
33 0.002498781 0.0005103208 2305.64 
34 0.002432519 0.0004942489 2366.43 
35 0.0023608582 0.0004769126 2440.12 
36 0.0022841456 0.0004611823 2499.32 
37 0.002218536 0.0004471425 2547.19 
38 0.0021549828 0.0004362293 2610.04 
39 0.0020952687 0.0004247085 2666.62 
40 0.002038091 0.0004130686 2717.48 
41 0.0019819366 0.000405452 2768.25 
42 0.0019459155 0.0003963956 2815.59 
43 0.0019072168 0.000389544 2862.6 
44 0.0018699875 0.0003824664 2935.05 
45 0.0018327031 0.0003747987 2985.22 
46 0.0018034321 0.0003672644 3033.81 
47 0.001774249 0.0003637288 3106.13 
48 0.0017440047 0.0003572855 3161.8 
49 0.0017148116 0.0003500933 3213.46 
50 0.0016841411 0.0003439678 3268.66 
51 0.0016621342 0.0003398186 3313.7 
52 0.0016412957 0.0003363737 3371.23 
