# epoch train_loss test_loss time_seconds
1 227.4802608105 0.6912638356 314.9 
2 3.2952927631 0.2195607116 695.78 
3 1.0758126086 0.0954093867 1157.91 
4 0.4556798401 0.0819295683 1675.23 
5 0.3709733209 0.0492128931 2115.82 
6 0.2385044405 0.0356005823 2637.63 
7 0.176053336 0.0316373536 3098.7 
8 0.1495771974 0.0206742828 3529.09 
9 0.0996092876 0.0160237992 4093.61 
10 0.0770419127 0.0118429174 4435.85 
11 0.0570268285 0.0096712626 4697.3 
12 0.0458995543 0.0085019939 4951.79 
13 0.0409591971 0.0072422465 5250.88 
14 0.0351847849 0.0064210751 5490.41 
15 0.0315169677 0.0058351564 5737.35 
16 0.0284339822 0.0050901803 6027.42 
17 0.0250452936 0.0045584967 6289.99 
18 0.0214971319 0.0041386117 6560.15 
19 0.0193749109 0.0037274251 6821.13 
20 0.0176450342 0.0034000657 7056.86 
21 0.0161416811 0.0030574348 7301.89 
22 0.0147934972 0.0028774433 7550.07 
23 0.0139042552 0.002722079 7772.8 
24 0.0132599793 0.0025525269 8005.1 
25 0.0124797146 0.0024314397 8263.62 
26 0.0118576925 0.0023229502 8527.28 
27 0.0112556579 0.0022503278 8789.14 
28 0.0108799829 0.0021519549 9049.46 
29 0.0104210554 0.0020457662 9320.44 
30 0.0099076468 0.0019549846 9590.84 
31 0.0095161802 0.0019292468 9854.44 
32 0.0093565729 0.0018214127 10124.64 
33 0.0088971216 0.0017545561 10384.59 
34 0.0085921478 0.0016847641 10652.99 
35 0.00828243 0.0016154899 10893.12 
36 0.0080323182 0.001564374 11138.55 
37 0.0078357016 0.0015050685 11397.52 
38 0.0075995392 0.0014642672 11631.94 
39 0.0073879564 0.0014359157 11885.89 
40 0.0072365794 0.0013999308 12130.83 
41 0.0070491196 0.0013750898 12400.81 
42 0.0068492822 0.0013453179 12663.57 
43 0.0067024211 0.0013077087 12915.31 
44 0.0065260277 0.0012672407 13191.76 
45 0.0063593988 0.0012500417 13458.9 
46 0.0062646971 0.001231373 13724.84 
47 0.0061448479 0.0011829397 14003.74 
48 0.005957796 0.0011699344 14243.42 
49 0.0058758966 0.0011491709 14522.42 
50 0.0057343211 0.0011212321 14757.83 
51 0.0056047305 0.0010951574 14996.0 
52 0.0054471372 0.0010745219 15247.87 
53 0.0053322886 0.0010582479 15494.42 
54 0.0052599312 0.001040655 15736.28 
55 0.0051632156 0.0010295201 15988.84 
56 0.0050516847 0.0010071209 16238.47 
57 0.004935146 0.0009850488 16474.56 
58 0.0048155747 0.0009741038 16769.36 
59 0.0047400955 0.0009500884 17035.99 
60 0.0046289028 0.0009376011 17325.72 
61 0.0045404698 0.000920691 17586.69 
62 0.0044472367 0.0009060343 17840.36 
63 0.0043712491 0.0008893191 18112.83 
64 0.0042759947 0.0008712519 18385.19 
65 0.0041851208 0.0008497398 18632.74 
66 0.0040864897 0.0008351664 18864.97 
67 0.0040167487 0.0008189419 19122.08 
68 0.003917951 0.0008020458 19365.92 
69 0.0038398858 0.0007935057 19618.08 
70 0.0037692196 0.000779292 19887.03 
71 0.0036863342 0.0007608203 20148.17 
72 0.003611737 0.0007446237 20397.33 
73 0.0035479857 0.0007335168 20665.44 
74 0.0034896546 0.0007239482 20949.18 
75 0.0034323759 0.0007092695 21204.88 
76 0.0033783534 0.0006992768 21493.74 
77 0.0033342639 0.0006934015 21753.16 
78 0.0033008647 0.0006855252 22019.92 
79 0.0032643267 0.00067789 22274.93 
80 0.003221424 0.0006688672 22553.43 
81 0.0031770861 0.000660008 22815.66 
82 0.0031419484 0.0006514525 23059.96 
83 0.0030988119 0.0006377386 23341.69 
84 0.0030516668 0.000628955 23585.74 
85 0.0030130883 0.0006240837 23854.13 
86 0.0029856587 0.0006173688 24130.02 
87 0.0029544836 0.0006097094 24375.37 
88 0.0029134151 0.0006040606 24632.52 
89 0.0028824644 0.0005982285 24884.74 
90 0.0028473307 0.0005895862 25140.99 
91 0.0028125954 0.000584466 25415.75 
92 0.0027886577 0.0005770499 25665.96 
93 0.0027537279 0.0005677515 25913.35 
94 0.0027202769 0.0005605184 26161.17 
95 0.002690874 0.0005537965 26417.89 
96 0.0026637357 0.0005488019 26679.58 
97 0.0026423131 0.0005447243 26936.86 
98 0.0026227852 0.0005393111 27220.45 
99 0.0026004472 0.0005357989 27467.67 
100 0.002579489 0.00053138 27744.75 
101 0.0025587607 0.0005262099 28005.09 
102 0.002543015 0.0005242415 28275.82 
103 0.0025169774 0.0005191247 28532.93 
104 0.0024970725 0.0005137406 28809.75 
105 0.0024762368 0.000510981 29050.7 
106 0.0024561357 0.0005084908 29316.28 
107 0.0024346172 0.0005062201 29584.91 
108 0.0024184405 0.0005029526 29802.8 
